Id,FirstName,LastName,BirthDate
1,F.Scott,Fitzgerald,09/24/189600:00:00
2,Harper,Lee,04/28/192600:00:00
3,George,Orwell,06/25/190300:00:00
4,Aldous,Huxley,07/26/189400:00:00
5,J.D.,Salinger,01/01/191900:00:00
6,Jane,Austen,12/16/177500:00:00
7,J.R.R.,Tolkien,01/03/189200:00:00
8,Paulo,Coelho,08/24/194700:00:00
9,Oscar,Wilde,10/16/185400:00:00
10,Dan,Brown,06/22/196400:00:00
11,Suzanne,Collins,08/10/196200:00:00
12,Khaled,Hosseini,03/04/196500:00:00
13,Markus,Zusak,06/23/197500:00:00
14,Stieg,Larsson,08/15/195400:00:00
15,John,Green,08/24/197700:00:00
16,Andy,Weir,06/16/197200:00:00
17,Fyodor,Dostoevsky,11/11/182100:00:00
18,Dante,Alighieri,05/20/126500:00:00
19,Leo,Tolstoy,09/09/182800:00:00
20,Jules,Verne,02/08/182800:00:00
21,Gabriel,GarcíaMárquez,03/06/192700:00:00
22,Arthur,Golden,12/06/195600:00:00
23,Franz,Kafka,07/03/188300:00:00
24,Lewis,Carroll,01/27/183200:00:00
